Hyundai Kona,$ 17 000,1 497 020 сом,https://im.mashina.kg/tachka/images//7/b/b/7bb53f2266d517a51706c0b07ea834fe_240x180.jpg,"2018г.,1.6л.,роботвнедорожник5дв.,бензинрульслева,21801км"
Toyota Camry,$ 25 999,2 289 472 сом,https://im.mashina.kg/tachka/images//9/4/f/94f505dba06b14a1ca183145fe4d8461_240x180.jpg,"2018г.,2.5л.,вариаторседан,гибридрульслева,134600км"
Toyota Camry,$ 9 600,845 376 сом,https://im.mashina.kg/tachka/images//6/d/d/6dd7ce9b0128a24f611c9d2d30968b5b_240x180.jpg,"2010г.,2.5л.,автоматседан,бензинрульслева,153042км"
Lexus GS,$ 31 000,2 729 860 сом,https://im.mashina.kg/tachka/images//b/1/2/b12f28b983deb6761e3f2f47a8132847_240x180.jpg,"2016г.,2.5л.,вариаторседан,гибридрульслева,107000км"
Volkswagen ID.4,$ 27 700,2 439 262 сом,https://im.mashina.kg/tachka/images//c/b/1/cb1a7e7c101e20326895de4a86eb84b7_240x180.jpg,"2023г.,автоматвнедорожник5дв.,электрорульслева,10км"
Kia K7,$ 33 500,2 950 010 сом,https://im.mashina.kg/tachka/images//e/8/1/e81aa740b14c2cf1be3062f7caf4305c_240x180.jpg,"2020г.,2.5л.,автоматседан,бензинрульслева,104000км"
Lexus LX,$ 43 000,3 786 580 сом,https://im.mashina.kg/tachka/images//d/e/c/decfc6f2f1bba676492449b1cf61a632_240x180.jpg,"2011г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,217000км"
BMW X7,$ 110 000,9 686 600 сом,https://im.mashina.kg/tachka/images//7/b/2/7b21a8fa3bd87dccd860bc2f1c1197a7_240x180.jpg,"2021г.,3л.,автоматвнедорожник5дв.,бензинрульслева,36000км"
Honda Accord,$ 17 999,1 584 992 сом,https://im.mashina.kg/tachka/images//e/3/d/e3d94d50e6c4ceb67365e37807482f49_240x180.jpg,"2019г.,1.5л.,вариаторседан,бензинрульслева,67000км"
Toyota Camry,$ 26 500,2 333 590 сом,https://im.mashina.kg/tachka/images//8/6/9/86997338403c9511bfa89163a9631f92_240x180.jpg,"2017г.,2.5л.,вариаторседан,гибридрульслева,53000км"
Kia Stinger,$ 29 000,2 553 740 сом,https://im.mashina.kg/tachka/images//3/1/e/31eddef8559f7b9077f00cbc2d54bd7b_240x180.jpg,"2018г.,3.3л.,автоматлифтбек,бензинрульслева,70000км"
Subaru Legacy,$ 7 500,660 450 сом,https://im.mashina.kg/tachka/images//1/d/1/1d12c83b06e8f52e29eb3b41ba6ee772_240x180.jpg,"2005г.,2л.,автоматуниверсал,бензинрульсправа,200000км"
Toyota RAV4,$ 50 000,4 403 000 сом,https://im.mashina.kg/tachka/images//b/6/6/b667f489824eb4d6e1c0826e2cabdf4e_240x180.jpg,"2022г.,2.5л.,вариаторвнедорожник5дв.,гибридрульслева,30км"
Subaru Forester,$ 22 500,1 981 350 сом,https://im.mashina.kg/tachka/images//5/1/9/5192f49a17b8ee589bdb44cb37270b63_240x180.jpg,"2019г.,2.5л.,вариаторвнедорожник5дв.,бензинрульслева,125000км"
Subaru Impreza,$ 14 999,1 320 812 сом,https://im.mashina.kg/tachka/images//f/5/a/f5a0b9bc150b01c207bae3709ef4f64e_240x180.jpg,"2019г.,2л.,вариаторхэтчбек5дв.,бензинрульслева,84265км"
Mercedes-Benz C-Класс,$ 6 300,554 778 сом,https://im.mashina.kg/tachka/images//4/8/1/48124e0cedcb43ba05b0e3757f6c5aa6_240x180.jpg,"2001г.,2.1л.,автоматседан,дизельрульслева,400000км"
Land Rover Range Rover Sport,$ 46 500,4 094 790 сом,https://im.mashina.kg/tachka/images//7/9/7/797adc396aac8d16512c0692cad20292_240x180.jpg,"2017г.,3л.,автоматвнедорожник5дв.,дизельрульслева,117000км"
BMW X6,$ 86 000,7 573 160 сом,https://im.mashina.kg/tachka/images//0/b/2/0b2ddbedc718cf44e032cc582ad9181c_240x180.jpg,"2021г.,3л.,автоматвнедорожник5дв.,бензинрульслева,19000км"
Mercedes-Benz E-класс,$ 24 000,2 113 440 сом,https://im.mashina.kg/tachka/images//4/d/d/4dd682d8076dd08271a899bb48a4c545_240x180.jpg,"2013г.,2л.,автоматседан,бензинрульслева,200000км"
Mercedes-Benz S-класс,$ 21 000,1 849 260 сом,https://im.mashina.kg/tachka/images//a/4/0/a408aa971a0439918c31fa3b2994deb2_240x180.jpg,"2009г.,5.5л.,автоматседан,бензинрульслева,148000км"
Lexus GX,$ 21 500,1 893 290 сом,https://im.mashina.kg/tachka/images//e/f/f/eff634ba7e4d4b63d19d337ef7a97781_240x180.jpg,"2004г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,215000км"
Geely Monjaro,$ 37 300,3 284 638 сом,https://im.mashina.kg/tachka/images//d/3/0/d306c8232995c9fb89c8a84f21cc33b0_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,3км"
Toyota Camry,$ 36 500,3 214 190 сом,https://im.mashina.kg/tachka/images//0/0/d/00d6773c6a38724beb9d516a54f354f5_240x180.jpg,"2023г.,2.5л.,автоматседан,бензинрульслева,60км"
Geely Monjaro,$ 37 000,3 258 220 сом,https://im.mashina.kg/tachka/images//0/3/4/034d0ec7b7f814bcf27d892a026222e1_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,60км"
Toyota Land Cruiser,$ 42 500,3 742 550 сом,https://im.mashina.kg/tachka/images//5/7/c/57cead4ca51df04c5a3e33b8eb52ce1c_240x180.jpg,"2012г.,4.5л.,автоматвнедорожник5дв.,дизельрульслева,150000км"
Mercedes-Benz S-класс,$ 45 000,3 962 700 сом,https://im.mashina.kg/tachka/images//c/4/c/c4cd013577da2dca2920c7e32d0f593e_240x180.jpg,"2014г.,4.7л.,автоматседан,бензинрульслева,93000км"
Hyundai Solaris,$ 12 500,1 100 750 сом,https://im.mashina.kg/tachka/images//f/c/c/fcc9cb13c2ee428e4ed79ba1ad9d4ca6_240x180.jpg,"2020г.,1.6л.,автоматседан,бензинрульслева,21000км"
BYD Tang,$ 48 000,4 226 880 сом,https://im.mashina.kg/tachka/images//1/2/3/123a75f00a7541fab1e3ab496a11f002_240x180.jpg,"2021г.,автоматвнедорожник5дв.,электрорульслева,30000км"
Mercedes-Benz S-класс,$ 58 000,5 107 480 сом,https://im.mashina.kg/tachka/images//2/b/6/2b6e185e4ea43c458345fb7b17675545_240x180.jpg,"2015г.,4.7л.,автоматседан,бензинрульслева,130000км"
Toyota Camry,$ 32 705,2 880 000 сом,https://im.mashina.kg/tachka/images//f/e/6/fe6ce42e5ec816c814676a19690be281_240x180.jpg,"2018г.,2.5л.,вариаторседан,гибридрульслева,90000км"
Lexus LX,$ 37 000,3 258 220 сом,https://im.mashina.kg/tachka/images//8/4/d/84d02a2f6915c333a07c61c99ad6bf23_240x180.jpg,"2010г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,166000км"
Toyota RAV4,$ 23 500,2 069 410 сом,https://im.mashina.kg/tachka/images//4/0/a/40ae618030eeb594b8e1afa59258c508_240x180.jpg,"2016г.,2.5л.,вариаторвнедорожник5дв.,гибридрульслева,90000км"
Toyota Prius,$ 9 700,854 182 сом,https://im.mashina.kg/tachka/images//6/7/b/67ba53f21cf774373d3d64f65b15bd07_240x180.jpg,"2006г.,1.5л.,автоматхэтчбек5дв.,гибридрульслева,168000км"
